"MasVnrArea","YearBuilt","SalePrice","MSZoning","MSZoningC..all.","MSZoningFV","MSZoningRH","MSZoningRL","MSZoningRM"
196,0.949275362318841,12.247694320221,"RL",0,0,0,1,0
0,0.753623188405797,12.109010932687,"RL",0,0,0,1,0
162,0.934782608695652,12.3171666930358,"RL",0,0,0,1,0
0,0.311594202898551,11.8493977015914,"RL",0,0,0,1,0
350,0.927536231884058,12.4292161968444,"RL",0,0,0,1,0
0,0.876811594202899,11.870599909242,"RL",0,0,0,1,0
186,0.956521739130435,12.6346030265693,"RL",0,0,0,1,0
240,0.731884057971015,12.2060726455302,"RL",0,0,0,1,0
0,0.427536231884058,11.7745202026587,"RM",0,0,0,0,1
0,0.485507246376812,11.6784399034478,"RL",0,0,0,1,0
0,0.673913043478261,11.7714361601217,"RL",0,0,0,1,0
286,0.963768115942029,12.7512996960135,"RL",0,0,0,1,0
0,0.652173913043478,11.8775685785581,"RL",0,0,0,1,0
306,0.971014492753623,12.5407575715773,"RL",0,0,0,1,0
212,0.63768115942029,11.9640010843304,"RL",0,0,0,1,0
0,0.41304347826087,11.7905572015685,"RM",0,0,0,0,1
180,0.710144927536232,11.9117015849276,"RL",0,0,0,1,0
0,0.688405797101449,11.4075649493124,"RL",0,0,0,1,0
0,0.956521739130435,11.9766594812024,"RL",0,0,0,1,0
0,0.623188405797101,11.8422292121128,"RL",0,0,0,1,0
380,0.963768115942029,12.6925031124614,"RL",0,0,0,1,0
0,0.420289855072464,11.8451027773086,"RM",0,0,0,0,1
281,0.942028985507246,12.3458345879053,"RL",0,0,0,1,0
0,0.753623188405797,11.7745202026587,"RM",0,0,0,0,1
0,0.695652173913043,11.9447078813958,"RL",0,0,0,1,0
640,0.978260869565217,12.4541039123522,"RL",0,0,0,1,0
0,0.572463768115942,11.8115474774603,"RL",0,0,0,1,0
200,0.978260869565217,12.6313403809345,"RL",0,0,0,1,0
0,0.615942028985507,12.2428866186529,"RL",0,0,0,1,0
0,0.398550724637681,11.1345890242503,"RM",0,0,0,0,1
0,0.681159420289855,11.9140478236443,"RL",0,0,0,1,0
0,0.978260869565217,12.1001564199386,"RL",0,0,0,1,0
0,0.630434782608696,12.0167264737993,"RL",0,0,0,1,0
246,0.963768115942029,12.5335762121686,"RL",0,0,0,1,0
132,0.956521739130435,12.6410965558799,"RL",0,0,0,1,0
0,0.884057971014493,11.8844890214027,"RL",0,0,0,1,0
650,0.594202898550725,11.9381932003746,"RL",0,0,0,1,0
0,0.58695652173913,11.5991031612113,"RL",0,0,0,1,0
0,0.601449275362319,11.3144745262464,"RL",0,0,0,1,0
101,0.673913043478261,11.982929094216,"RL",0,0,0,1,0
0,0.630434782608696,12.0435537160324,"RL",0,0,0,1,0
0,0.804347826086957,11.8775685785581,"RL",0,0,0,1,0
0,0.746376811594203,11.7772109596156,"RL",0,0,0,1,0
0,0.630434782608696,11.8565151693603,"RL",0,0,0,1,0
412,0.963768115942029,12.6757637259376,"RL",0,0,0,1,0
0,0.949275362318841,12.3870850123755,"RL",0,0,0,1,0
0,0.971014492753623,12.4280154762679,"FV",0,1,0,0,0
0,0.347826086956522,11.6351430976945,"RM",0,0,0,0,1
0,0.681159420289855,11.7519423654407,"RL",0,0,0,1,0
0,0.905797101449275,12.083905011556,"RL",0,0,0,1,0
0,0.449275362318841,11.6483301019764,"RM",0,0,0,0,1
0,0.659420289855073,11.6082356447746,"RM",0,0,0,0,1
0,0.789855072463768,12.8609986132699,"RL",0,0,0,1,0
0,0.601449275362319,11.7752897294377,"RL",0,0,0,1,0
272,0.666666666666667,12.1034860567551,"RL",0,0,0,1,0
456,0.920289855072464,12.0581525154536,"FV",0,1,0,0,0
0,0.956521739130435,12.1884177102915,"RL",0,0,0,1,0
1031,0.971014492753623,12.9917534274931,"RL",0,0,0,1,0
0,0.72463768115942,11.7352686961137,"RL",0,0,0,1,0
0,0.956521739130435,11.9703503120091,"RL",0,0,0,1,0
0,0.347826086956522,11.5228757958234,"RM",0,0,0,0,1
178,0.971014492753623,12.2184951655287,"RL",0,0,0,1,0
0,0.355072463768116,11.8493977015914,"RM",0,0,0,0,1
573,0.905797101449275,12.2991075114974,"RL",0,0,0,1,0
344,0.956521739130435,12.6666570528594,"RL",0,0,0,1,0
287,0.710144927536232,12.1007121298723,"RL",0,0,0,1,0
167,0.949275362318841,12.3282902782544,"RL",0,0,0,1,0
0,0.528985507246377,11.289781913656,"RM",0,0,0,0,1
0,0.58695652173913,12.3238556811866,"RL",0,0,0,1,0
1115,0.731884057971015,12.4049235042753,"RL",0,0,0,1,0
0,0.797101449275362,11.7714361601217,"RL",0,0,0,1,0
40,0.91304347826087,12.1281111040605,"RL",0,0,0,1,0
104,0.594202898550725,11.8837991283088,"RL",0,0,0,1,0
0,0.311594202898551,11.5843154610569,"RM",0,0,0,0,1
0,0.731884057971015,11.418614785499,"RM",0,0,0,0,1
0,0.608695652173913,11.8185702377962,"RL",0,0,0,1,0
0,0.550724637681159,11.7519423654407,"RM",0,0,0,0,1
0,0.695652173913043,11.8240798936072,"RL",0,0,0,1,0
0,0.27536231884058,11.6082356447746,"RM",0,0,0,0,1
576,0.695652173913043,12.173032791452,"RL",0,0,0,1,0
443,0.91304347826087,11.9414558460094,"RM",0,0,0,0,1
468,0.978260869565217,12.4090134895269,"RL",0,0,0,1,0
66,0.63768115942029,11.7479975871497,"RL",0,0,0,1,0
22,0.891304347826087,12.0346910287746,"RL",0,0,0,1,0
284,0.86231884057971,12.4684369099977,"RL",0,0,0,1,0
0,0.963768115942029,12.0668105781967,"RL",0,0,0,1,0
76,0.992753623188406,12.0106658491876,"FV",0,1,0,0,0
0,0.311594202898551,11.3504065354725,"C (all)",1,0,0,0,0
0,0.884057971014493,11.7248058240057,"RL",0,0,0,1,0
0,0.565217391304348,11.6073261403917,"RL",0,0,0,1,0
203,0.644927536231884,11.4988265405907,"RL",0,0,0,1,0
0,0.355072463768116,12.0045682693194,"RL",0,0,0,1,0
0,0.27536231884058,11.8048485316793,"C (all)",1,0,0,0,0
0,0.905797101449275,12.2295450017153,"RL",0,0,0,1,0
68,0.876811594202899,12.1281111040605,"RL",0,0,0,1,0
183,0.920289855072464,12.273731294004,"RL",0,0,0,1,0
48,0.673913043478261,11.4589971229447,"RL",0,0,0,1,0
0,0.347826086956522,11.3265958867787,"RL",0,0,0,1,0
0,0.630434782608696,11.7671800113095,"RL",0,0,0,1,0
28,0.760869565217391,12.2307652581205,"RL",0,0,0,1,0
336,0.818840579710145,12.0895388292742,"RL",0,0,0,1,0
0,0.77536231884058,11.6865762053166,"RL",0,0,0,1,0
0,0.992753623188406,12.2005574648421,"RL",0,0,0,1,0
600,0.427536231884058,12.0406082058026,"RM",0,0,0,0,1
768,0.949275362318841,12.4292161968444,"FV",0,1,0,0,0
0,0.0942028985507246,11.5129254649702,"RM",0,0,0,0,1
0,0.550724637681159,11.6526874073454,"RM",0,0,0,0,1
0,0.340579710144928,11.6526874073454,"RM",0,0,0,0,1
480,0.760869565217391,12.1547793511426,"RL",0,0,0,1,0
0,0.594202898550725,11.8270060112765,"RL",0,0,0,1,0
0,0.927536231884058,12.1007121298723,"RL",0,0,0,1,0
220,0.978260869565217,12.8583197035179,"RL",0,0,0,1,0
184,0.58695652173913,12.2876526325226,"RL",0,0,0,1,0
0,0.528985507246377,12.4665119815881,"RL",0,0,0,1,0
1129,0.920289855072464,12.0782392740203,"FV",0,1,0,0,0
116,0.652173913043478,11.8422292121128,"RL",0,0,0,1,0
0,0.971014492753623,11.9511803959014,"RL",0,0,0,1,0
0,0.855072463768116,12.6760762747759,"RL",0,0,0,1,0
0,0.963768115942029,12.0075607293375,"RL",0,0,0,1,0
0,0.702898550724638,12.1007121298723,"RL",0,0,0,1,0
0,0.485507246376812,11.5129254649702,"RM",0,0,0,0,1
135,0.623188405797101,11.8204101647182,"RL",0,0,0,1,0
0,0.876811594202899,11.944058319827,"RL",0,0,0,1,0
0,0.77536231884058,12.106252310248,"RL",0,0,0,1,0
0,0.456521739130435,11.3445068133453,"RM",0,0,0,0,1
0,0.753623188405797,11.7597855429018,"RL",0,0,0,1,0
0,0.420289855072464,11.3736633976367,"RM",0,0,0,0,1
266,0.681159420289855,11.9511803959014,"RL",0,0,0,1,0
85,0.623188405797101,11.9183905730784,"RL",0,0,0,1,0
309,0.681159420289855,12.3282902782544,"RL",0,0,0,1,0
40,0.927536231884058,12.4049235042753,"RL",0,0,0,1,0
0,0.630434782608696,11.9233781145894,"RL",0,0,0,1,0
136,0.934782608695652,12.3013828253345,"RL",0,0,0,1,0
0,0.695652173913043,12.1007121298723,"RL",0,0,0,1,0
288,0.710144927536232,12.0668105781967,"RL",0,0,0,1,0
196,0.688405797101449,11.870599909242,"RL",0,0,0,1,0
70,0.840579710144927,12.0494188354848,"RL",0,0,0,1,0
320,0.920289855072464,12.3458345879053,"RL",0,0,0,1,0
0,0.905797101449275,12.3523351525084,"RL",0,0,0,1,0
0,0.717391304347826,11.6526874073454,"RL",0,0,0,1,0
0,0.963768115942029,12.4684369099977,"RL",0,0,0,1,0
0,0.579710144927536,12.0197430673387,"RL",0,0,0,1,0
183,0.920289855072464,12.2258752728264,"RL",0,0,0,1,0
336,0.659420289855073,11.7360690162844,"RM",0,0,0,0,1
50,0.956521739130435,11.7752897294377,"RM",0,0,0,0,1
0,0.427536231884058,11.5617156291397,"RM",0,0,0,0,1
180,0.934782608695652,12.3126823805884,"RL",0,0,0,1,0
120,0.956521739130435,11.8565151693603,"RL",0,0,0,1,0
0,0.463768115942029,11.6526874073454,"RM",0,0,0,0,1
